Date, Timestamp, Ticker, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, BuyQuantity, SellQuantity, TotalTradeCount, BuyTradeCount, SellTradeCount
20150616, 07:27:00.000, IBM, 166.00, 166.00, 166.00, 166.00, 24900.00, 150, 0, 0, 1, 0, 0
20150616, 07:51:00.000, IBM, 165.90, 165.90, 165.90, 165.90, 16590.00, 100, 0, 0, 1, 0, 0
20150616, 07:55:00.000, IBM, 165.71, 165.71, 165.71, 165.71, 16571.00, 100, 0, 0, 1, 0, 0
20150616, 08:00:00.000, IBM, 165.73, 165.73, 165.73, 165.73, 16573.00, 100, 0, 0, 1, 0, 0
20150616, 08:01:00.000, IBM, 165.85, 165.90, 165.85, 165.90, 16587.50, 100, 0, 0, 2, 0, 0
20150616, 08:37:00.000, IBM, 165.85, 165.87, 165.85, 165.87, 160392.29, 967, 0, 0, 8, 0, 0
20150616, 09:02:00.000, IBM, 166.38, 166.38, 166.38, 166.38, 34939.80, 210, 0, 0, 3, 0, 0
20150616, 09:03:00.000, IBM, 166.10, 166.10, 166.10, 166.10, 33220.00, 200, 0, 0, 2, 0, 0
20150616, 09:09:00.000, IBM, 166.30, 166.30, 166.30, 166.30, 110922.10, 667, 0, 0, 3, 0, 0
20150616, 09:19:00.000, IBM, 166.31, 166.31, 166.31, 166.31, 4157.75, 25, 0, 0, 1, 0, 0
20150616, 09:20:00.000, IBM, 166.31, 166.38, 166.31, 166.38, 148197.65, 891, 0, 0, 4, 0, 0
20150616, 09:21:00.000, IBM, 166.43, 166.43, 166.43, 166.43, 8321.50, 50, 0, 0, 1, 0, 0
20150616, 09:22:00.000, IBM, 166.17, 166.17, 166.10, 166.10, 141228.68, 850, 0, 0, 4, 0, 0
20150616, 09:31:00.000, IBM, 166.41, 166.48, 166.24, 166.48, 2073473.55, 12463, 0, 0, 132, 0, 0
20150616, 09:32:00.000, IBM, 166.44, 166.78, 166.33, 166.71, 1625905.80, 9760, 0, 0, 91, 0, 0
20150616, 09:33:00.000, IBM, 166.66, 166.80, 166.23, 166.78, 1070027.09, 6417, 0, 0, 67, 0, 0
20150616, 09:34:00.000, IBM, 166.78, 166.99, 166.74, 166.99, 1588835.32, 9522, 0, 0, 103, 0, 0
20150616, 09:35:00.000, IBM, 166.99, 166.99, 166.47, 166.47, 2845068.14, 17062, 0, 0, 134, 0, 0
20150616, 09:36:00.000, IBM, 166.54, 166.66, 166.40, 166.61, 1967658.78, 11817, 0, 0, 94, 0, 0
20150616, 09:37:00.000, IBM, 166.42, 166.61, 166.40, 166.60, 1292808.01, 7764, 0, 0, 69, 0, 0
20150616, 09:38:00.000, IBM, 166.61, 166.67, 166.48, 166.50, 2264023.41, 13589, 0, 0, 137, 0, 0
20150616, 09:39:00.000, IBM, 166.51, 167.07, 166.51, 167.00, 2366139.88, 14182, 0, 0, 137, 0, 0
20150616, 09:40:00.000, IBM, 167.04, 167.33, 166.94, 167.18, 2441206.09, 14602, 0, 0, 110, 0, 0
20150616, 09:41:00.000, IBM, 167.32, 167.40, 167.18, 167.22, 3862236.60, 23083, 0, 0, 188, 0, 0
20150616, 09:42:00.000, IBM, 167.18, 167.27, 167.06, 167.06, 2768097.45, 16558, 0, 0, 140, 0, 0
20150616, 09:43:00.000, IBM, 167.09, 167.09, 166.85, 166.97, 2148743.64, 12870, 0, 0, 111, 0, 0
20150616, 09:44:00.000, IBM, 166.97, 166.97, 166.81, 166.93, 1058380.47, 6343, 0, 0, 65, 0, 0
20150616, 09:45:00.000, IBM, 166.87, 166.94, 166.79, 166.84, 1223840.65, 7336, 0, 0, 73, 0, 0
20150616, 09:46:00.000, IBM, 166.80, 167.18, 166.79, 167.18, 1480629.32, 8870, 0, 0, 81, 0, 0
20150616, 09:47:00.000, IBM, 167.19, 167.20, 167.01, 167.07, 1436243.95, 8595, 0, 0, 76, 0, 0
20150616, 09:48:00.000, IBM, 167.01, 167.12, 166.96, 166.99, 4790363.30, 28679, 0, 0, 188, 0, 0
20150616, 09:49:00.000, IBM, 166.98, 167.21, 166.98, 167.20, 4247417.84, 25424, 0, 0, 161, 0, 0
20150616, 09:50:00.000, IBM, 167.17, 167.17, 166.90, 167.00, 4141234.39, 24796, 0, 0, 146, 0, 0
20150616, 09:51:00.000, IBM, 167.00, 167.08, 166.85, 166.88, 2885507.68, 17278, 0, 0, 116, 0, 0
20150616, 09:52:00.000, IBM, 166.81, 166.88, 166.78, 166.81, 452114.57, 2710, 0, 0, 28, 0, 0
20150616, 09:53:00.000, IBM, 166.80, 166.82, 166.71, 166.76, 2292282.96, 13745, 0, 0, 104, 0, 0
20150616, 09:54:00.000, IBM, 166.73, 166.73, 166.61, 166.61, 1077919.67, 6467, 0, 0, 68, 0, 0
20150616, 09:55:00.000, IBM, 166.65, 166.66, 166.58, 166.59, 576509.17, 3460, 0, 0, 27, 0, 0
20150616, 09:56:00.000, IBM, 166.64, 166.90, 166.60, 166.90, 2621459.40, 15719, 0, 0, 143, 0, 0
20150616, 09:57:00.000, IBM, 166.89, 166.96, 166.86, 166.96, 979912.41, 5871, 0, 0, 47, 0, 0
20150616, 09:58:00.000, IBM, 166.91, 166.99, 166.88, 166.92, 449524.24, 2693, 0, 0, 34, 0, 0
20150616, 09:59:00.000, IBM, 166.91, 166.91, 166.75, 166.78, 1200150.73, 7194, 0, 0, 69, 0, 0
20150616, 10:00:00.000, IBM, 166.80, 166.84, 166.60, 166.68, 2473234.05, 14835, 0, 0, 163, 0, 0
20150616, 10:01:00.000, IBM, 166.76, 166.89, 166.69, 166.83, 943461.75, 5655, 0, 0, 65, 0, 0
20150616, 10:02:00.000, IBM, 166.82, 166.87, 166.78, 166.78, 706332.92, 4234, 0, 0, 44, 0, 0
20150616, 10:03:00.000, IBM, 166.82, 167.01, 166.78, 167.00, 1475514.92, 8840, 0, 0, 93, 0, 0
20150616, 10:04:00.000, IBM, 166.98, 166.98, 166.88, 166.95, 878530.71, 5263, 0, 0, 58, 0, 0
20150616, 10:05:00.000, IBM, 166.91, 166.97, 166.89, 166.89, 1322903.74, 7925, 0, 0, 52, 0, 0
20150616, 10:06:00.000, IBM, 166.89, 166.91, 166.83, 166.86, 635401.38, 3808, 0, 0, 40, 0, 0
20150616, 10:07:00.000, IBM, 166.83, 166.86, 166.60, 166.65, 1312341.98, 7872, 0, 0, 91, 0, 0
20150616, 10:08:00.000, IBM, 166.61, 166.63, 166.53, 166.56, 944966.03, 5673, 0, 0, 53, 0, 0
20150616, 10:09:00.000, IBM, 166.57, 166.57, 166.49, 166.49, 1122480.30, 6741, 0, 0, 70, 0, 0
20150616, 10:10:00.000, IBM, 166.49, 166.63, 166.46, 166.51, 3560093.04, 21378, 0, 0, 193, 0, 0
20150616, 10:11:00.000, IBM, 166.53, 166.58, 166.48, 166.52, 3841275.82, 23068, 0, 0, 151, 0, 0
20150616, 10:12:00.000, IBM, 166.59, 166.62, 166.48, 166.49, 2757842.75, 16557, 0, 0, 114, 0, 0
20150616, 10:13:00.000, IBM, 166.52, 166.53, 166.40, 166.44, 1397889.20, 8398, 0, 0, 74, 0, 0
20150616, 10:14:00.000, IBM, 166.43, 166.45, 166.37, 166.45, 716063.33, 4303, 0, 0, 46, 0, 0
20150616, 10:15:00.000, IBM, 166.39, 166.41, 166.30, 166.36, 1453938.03, 8740, 0, 0, 76, 0, 0
20150616, 10:16:00.000, IBM, 166.34, 166.50, 166.23, 166.50, 1456293.69, 8756, 0, 0, 84, 0, 0
20150616, 10:17:00.000, IBM, 166.52, 166.62, 166.52, 166.58, 1837785.94, 11034, 0, 0, 100, 0, 0
20150616, 10:18:00.000, IBM, 166.59, 166.73, 166.58, 166.62, 1152582.26, 6916, 0, 0, 71, 0, 0
20150616, 10:19:00.000, IBM, 166.63, 166.68, 166.55, 166.60, 797783.84, 4788, 0, 0, 54, 0, 0
20150616, 10:20:00.000, IBM, 166.58, 166.65, 166.53, 166.53, 2754152.33, 16533, 0, 0, 103, 0, 0
20150616, 10:21:00.000, IBM, 166.53, 166.58, 166.47, 166.47, 518220.28, 3112, 0, 0, 38, 0, 0
20150616, 10:22:00.000, IBM, 166.50, 166.52, 166.38, 166.52, 2176091.64, 13075, 0, 0, 103, 0, 0
20150616, 10:23:00.000, IBM, 166.51, 166.52, 166.39, 166.44, 1493685.23, 8973, 0, 0, 57, 0, 0
20150616, 10:24:00.000, IBM, 166.44, 166.52, 166.42, 166.50, 2210375.37, 13277, 0, 0, 131, 0, 0
20150616, 10:25:00.000, IBM, 166.49, 166.62, 166.49, 166.54, 899727.86, 5402, 0, 0, 64, 0, 0
20150616, 10:26:00.000, IBM, 166.57, 166.57, 166.52, 166.56, 516510.46, 3101, 0, 0, 31, 0, 0
20150616, 10:27:00.000, IBM, 166.52, 166.57, 166.41, 166.46, 1002588.12, 6021, 0, 0, 59, 0, 0
20150616, 10:28:00.000, IBM, 166.43, 166.52, 166.43, 166.48, 1525449.10, 9163, 0, 0, 83, 0, 0
